行政區別,男性戶數,女性戶數,男性面積,女性面積,男性現值,女性現值
中正區,38136,39914,3311940.62,3337794,18224727575,19507829857
大同區,35989,32745,3018865.77,2642860.05,13993700898,13402399198
中山區,67952,78633,6198783.31,6667181.65,38014697842,41944276895
萬華區,48021,45012,3634569.72,3309895.17,14530488215,14497265264
信義區,48373,53828,4265145.31,4754953.68,21492594116,26625109125
松山區,42313,47996,4129783.83,4489306.54,18214687635,20325173062
南港區,27469,26505,2553254.3,2484823.32,9332561818,9670005827
文山區,53749,59483,5295125.37,5899403.57,17419703833,20612956551
大安區,65373,75062,6316741.08,7172345.49,38838232064,44344240417
士林區,61307,60282,6258760.6,6098084.37,20218511957,21350293086
北投區,53153,55838,5242915.32,5513626.45,16974928053,19642706234
內湖區,58651,65935,6669756.58,7229330.24,26776252311,30382122915
