行政區別,男性/戶數（戶）,女性/戶數（戶）,男性/面積（平方公尺）,女性/面積（平方公尺）,男性/地價（千元）,女性/地價（千元）,男性/查定稅額（千元）,女性/查定稅額（千元）
松山區,31320,37551,1321873,1301760,98391350,99742819,595556,453560
信義區,36005,41397,1259757,1295658,94150870,100761804,431543,413235
大安區,45811,54805,1722158,1877252,162518015,180502289,831597,798863
中山區,41291,52905,1655662,1632034,123782233,127154504,729004,668956
中正區,24890,27757,901657,810644,77412700,72757703,425450,337785
大同區,23121,23080,988963,703408,54218712,41234037,340840,226070
萬華區,33443,33562,1111324,907550,56146431,45740444,317982,222451
文山區,41792,48401,1882054,1887355,73809462,78433473,333334,302818
南港區,20172,20255,856606,697207,38397013,34317258,196778,146297
內湖區,42183,50646,2120131,2004968,97713463,99306146,531728,415581
士林區,43557,46511,2826427,2241354,114824605,109525590,606954,504023
北投區,38733,43446,2537716,2002415,76448452,72817060,394772,312805
