序號,行政區,段代碼_段小段_地號,面積_m2,管理機關
1,北投,960_立農段五小段_80-3,179,市場處
2,北投,960_立農段五小段_109-4,266,市場處
3,北投,960_立農段五小段_109-5,375,市場處
4,北投,960_立農段五小段_134,6,市場處
5,北投,960_立農段五小段_135,103,市場處
6,北投,960_立農段五小段_137-1,244,市場處
7,北投,960_立農段五小段_138-2,4,市場處
8,北投,960_立農段五小段_142-2,10,市場處
9,大安,190_仁愛段三小段_335-3,314,大安地政事務所
10,大安,190_仁愛段三小段_335-4,221,大安地政事務所
11,大安,190_仁愛段三小段_374-3,25,大安地政事務所
12,大同,730_大龍段三小段_271,36,自來水事業處
13,大同,730_大龍段三小段_287,62,自來水事業處
14,大同,730_大龍段三小段_287-2,37,自來水事業處
15,大同,730_大龍段三小段_291,262,自來水事業處
16,中正,20_福和段二小段_608-26,1251,自來水事業處
17,中正,20_福和段二小段_645-1,1420,自來水事業處
18,士林,500_翠山段一小段_379,3681,公共運輸處
19,士林,520_天山段一小段_563,794,財政局
20,士林,530_天山段二小段_337,221,財政局
21,士林,530_天山段二小段_338,221,財政局
22,士林,530_天山段二小段_407,14,財政局
23,士林,530_芝山段一小段_24-1,366,財政局
24,大同,780_大同段二小段_662,389,財政局
25,中山,30_中山段四小段_553,182,財政局
26,中山,30_中山段四小段_554,119,財政局
27,中山,30_中山段四小段_555,119,財政局
28,中山,30_中山段四小段_556,186,財政局
29,中山,50_北安段一小段_82-13,847,財政局
30,中山,130_正義段四小段_238,1050,財政局
31,中山,130_正義段四小段_429,542,財政局
32,中山,130_正義段四小段_429-3,334,財政局
33,中山,180_吉林段五小段_332,571,財政局
34,中山,230_長春段一小段_725,619,財政局
35,中山,270_榮星段二小段_501,932,財政局
36,中山,200_長安段二小段_489,1503,財政局
37,中正,50_中正段二小段_246,47.22,財政局
38,中正,50_中正段二小段_254-1,1.23,財政局
39,中正,50_中正段二小段_255,7.09,財政局
40,中正,50_中正段二小段_256,502,財政局
41,中正,50_中正段二小段_257,7,財政局
42,中正,150_南海段二小段_339,589,財政局
43,中正,150_南海段二小段_340,113,財政局
44,中正,150_南海段二小段_357-2,41,財政局
45,中正,310_臨沂段一小段_303,157,財政局
46,中正,310_臨沂段一小段_306,162,財政局
47,中正,310_臨沂段一小段_307,156,財政局
48,中正,310_臨沂段一小段_308,156,財政局
49,中正,310_臨沂段一小段_363,144,財政局
50,中正,310_臨沂段一小段_363-1,68,財政局
51,中正,310_臨沂段一小段_363-2,7.62,財政局
52,中正,310_臨沂段一小段_364,105,財政局
53,中正,310_臨沂段一小段_364-1,45,財政局
54,內湖,570_西湖段一小段_456,364,財政局
55,內湖,600_康寧段一小段_202-1,626,財政局
56,內湖,630_康寧段四小段_452,734,財政局
57,內湖,630_康寧段四小段_452-2,431,財政局
58,內湖,670_碧湖段四小段_167,370,財政局
59,文山,270_木柵段三小段_336,1004,財政局
60,文山,560_博嘉段四小段_490,566.68,財政局
61,文山,150_萬芳段一小段_4-5,328,財政局
62,文山,650_興安段二小段_14-2,187,財政局
63,文山,650_興安段二小段_15,23,財政局
64,文山,650_興安段二小段_20-5,19,財政局
65,文山,650_興安段二小段_20-6,96,財政局
66,文山,620_興隆段三小段_399-11,78,財政局
67,文山,620_興隆段三小段_559-7,49,財政局
68,文山,620_興隆段三小段_559-9,20,財政局
69,文山,620_興隆段三小段_560,145,財政局
70,文山,620_興隆段三小段_560-7,62,財政局
71,文山,620_興隆段三小段_562-13,84,財政局
72,文山,620_興隆段三小段_563-13,6,財政局
73,北投,70_大業段四小段_223,1081,財政局
74,北投,70_大業段四小段_224-1,109,財政局
75,北投,920_湖山段二小段_167,1202.1,財政局
76,北投,0_新民段四小段_118,765,財政局
77,信義,400_吳興段三小段_790,94,財政局
78,信義,400_吳興段三小段_792,569,財政局
79,南港,740_新光段二小段_361-1,848,財政局
80,南港,740_新光段二小段_361-5,5,財政局
81,南港,740_新光段二小段_361-6,16,財政局
82,南港,740_新光段二小段_383-1,1171,財政局
83,南港,740_新光段二小段_385-5,2,財政局
84,南港,740_新光段二小段_385-6,1,財政局
85,南港,662_中南段四小段_1-6,953,財政局
86,萬華,320_華中段二小段_305,490,財政局
87,萬華,320_華中段二小段_542-7,888,財政局
