序號,管理機關,原使用用途,行政區,建物標示,門牌,建物樓層,建築完成日期,AREA_平方公尺,預定處理方式
1,稅捐稽徵處,辦公廳舍,萬華區,萬華段一小段01157建號,桂林路52號3樓,3,731205,690.31,參與都市更新計畫，目前進度權利變換分配中。
2,稅捐稽徵處,辦公廳舍,萬華區,萬華段一小段01158建號,桂林路52號4樓,4,731205,624.89,參與都市更新計畫，目前進度權利變換分配中。
3,稅捐稽徵處,倉庫,大安區,瑞安段二小段3111建號,瑞安街73號4樓,4,721209,1306.77,無使用需求，徵詢各機關有無公務需求。
4,大同區公所,延平區民活動中心,大同區,延平段一小段02730建號,保安街47-1號3樓,3,871116,283.32,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
5,大同區公所,老師區民活動中心,大同區,文昌段一小段E0001-001建號,敦煌路臨160-2號（橋下空間）,1,870320,209.49,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
6,大同區公所,臺北橋區民活動中心,大同區,橋北段三小段E0001-001建號,迪化街1段374號2樓（橋下空間）,2,910523,388,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
7,萬華區公所,光復區民活動中心,萬華區,雙園段一小段E0624-000建號,西園路2段臨370-1號（橋下空間）,1,700415,180,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
8,萬華區公所,青山區民活動中心,萬華區,直興段二小段E0001-000建號,環河南路2段臨5-1號（橋下空間）,1,880101,172.57,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
9,萬華區公所,萬大第一區民活動中心,萬華區,華中段四小段E1112-000建號,萬大路臨614-1號（橋下空間）,1,830516,456,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
10,萬華區公所,萬大第二區民活動中心,萬華區,華中段四小段E1113-000建號,萬大路臨600-1號（橋下空間）,1,901103,456,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
11,萬華區公所,萬青區民活動中心,萬華區,青年段一小段12432建號,萬大路411號2樓,2,880918,240.45,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
12,內湖區公所,金龍區民活動中心,內湖區,碧湖段一小段02820建號,金龍路136-1號2樓,2,940519,97.13,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
13,內湖區公所,五分區民活動中心,內湖區,東湖段七小段02986建號,五分街6號5樓,5,811211,604.83,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
14,士林區公所,葫東區民活動中心,士林區,福順段一小段E0012-000建號,中正路589號（橋下空間）,1,850917,280.87,民政局檢討釋出，未完成媒合前，仍按區民活動中心經營管理。
15,中正區公所,中正區公所辦公室,中正區,成功段二小段00670-000建號,忠孝東路一段108號8樓,8,690202,344,無使用需求，徵詢各機關有無公務需求。
16,中山區公所,長春區民活動中心,中山區,長春段一小段01582-000建號,長春路299號3樓之1,3,640611,144.46,無使用需求，徵詢各機關有無公務需求。
17,文化局,演藝團隊排練使用,中正區,河堤段五小段01082建號,廈門街100之1號3樓,3,680301,106.85,無使用需求，徵詢各機關有無公務需求。
18,公園處,宿舍,士林區,力行段三小段E1340建號,陽明路1段48巷9號1樓,1,600110,53,無使用需求，徵詢各機關有無公務需求。
19,地政局,宿舍,士林區,力行段三小段30018建號,陽明路一段48巷1號,1、2,701230,116.08,無使用需求，徵詢各機關有無公務需求。
