序號,辦理機關,機關代碼,案件名稱,委託經營期間,受託單位
1,文化局,379590000E,三井物產株式會社舊倉庫,"108/09/30 至
117/12/31",景澤創意有限公司
2,文化局,379590000E,市定古蹟紀州庵及新館,"115/01/01 至
123/12/31",財團法人台灣文學發展基金會
3,文化局,379590000E,市定古蹟蔡瑞月舞蹈研究社,"113/07/01 至
116/06/30",財團法人台北市蔡瑞月文化基金會
4,文化局,379590000E,永安藝文館,"112/04/27 至
115/04/26",故事工廠
5,文化局,379590000E,李國鼎故居,"108/02/01 至
117/01/31",財團法人李國鼎科技發展基金會
6,文化局,379590000E,芝山岩展示館,"110/01/01 至
115/12/31",社團法人台北市野鳥學會
7,文化局,379590000E,牯嶺街小劇場,"103/07/01 至
115/01/20",身體氣象館
8,文化局,379590000E,孫運璿科技．人文紀念館(直轄市定古蹟孫運璿重慶南路寓所),"108/06/14 至
117/06/13",財團法人孫運璿學術基金會
9,文化局,379590000E,新芳春茶行,"113/07/01 至
115/12/31",國立臺北教育大學
10,市場處,379670100G,臺北市第一果菜批發市場,"97/01/01 至
117/12/31",臺北農產運銷股份有限公司
11,市場處,379670100G,臺北市第二果菜批發市場,"95/12/01 至
117/12/31",臺北農產運銷股份有限公司
12,市場處,379670100G,臺北市魚類批發市場暨民族魚市場,"97/01/01 至
117/12/31",臺北漁產運銷股份有限公司
13,社會局,379120000J,北投奇岩長青樂活大樓,"108/09/05 至
116/12/31",社團法人中華民國靈糧堂社會福利協會
14,社會局,379120000J,崇愛發展中心,"111/01/01 至
118/06/30",財團法人第一社會福利基金會
15,社會局,379120000J,臺北市一壽照顧中心,"113/07/01 至
116/06/30",台北市康復之友協會
16,社會局,379120000J,臺北市三玉社區公共托育家園,"115/01/01 至
117/12/31",財團法人中華民國唐氏症基金會
17,社會局,379120000J,臺北市三玉啟能中心,"113/01/01 至
115/12/31",中華民國腦性麻痺協會
18,社會局,379120000J,臺北市三興團體家庭,"114/07/01 至
117/06/30",財團法人第一社會福利基金會
19,社會局,379120000J,臺北市士林托嬰中心,"111/01/01 至
116/12/31",財團法人靖娟兒童安全文教基金會
20,社會局,379120000J,臺北市士林老人服務暨日間照顧中心,"115/01/01 至
117/12/31",社團法人中華民國士林靈糧堂社會福利協會
21,社會局,379120000J,臺北市士林暨文昌社區公共托育家園,"113/01/01 至
115/12/31",社團法人台灣公共托育協會
22,社會局,379120000J,臺北市大同托嬰中心,"115/01/01 至
117/12/31",社團法人吾幼吾家教保協會
23,社會局,379120000J,臺北市大同老人服務暨日間照顧中心(大龍市場),"108/10/02 至
115/12/31",財團法人台北市立慈善基金會
24,社會局,379120000J,臺北市大同發展中心,"110/01/01 至
116/06/30",社團法人中華民國腦性麻痺協會
25,社會局,379120000J,臺北市大安托嬰中心,"113/01/01 至
115/12/31",社團法人新北市國際兒童教育協會
26,社會局,379120000J,臺北市大安老人服務暨日間照顧中心,"113/01/01 至
115/12/31",社團法人德安社會福利基金會
27,社會局,379120000J,臺北市大安社區公共托育家園,"113/01/01 至
115/12/31",社團法人中華婦幼健康促進發展協會
28,社會局,379120000J,臺北市大直社區公共托育家園,"112/01/01 至
117/12/31",社團法人中華童心幸福關懷協會
29,社會局,379120000J,臺北市大湖托嬰中心,"115/01/01 至
117/12/31",社團法人台北市幼兒園協會
30,社會局,379120000J,臺北市大龍老人住宅,"114/01/01 至
116/12/31",天主教耕莘醫療財團法人永和耕莘醫院
31,社會局,379120000J,臺北市大龍社區公共托育家園,"115/01/01 至
117/12/31",臺北市托育協會
32,社會局,379120000J,臺北市大龍峒身障社區長照機構(日間照顧),"113/01/01 至
115/12/31",財團法人臺北市喜樂家族社會福利基金會
33,社會局,379120000J,臺北市大龍養護中心,"114/07/01 至
117/06/30",財團法人伊甸社會福利基金會
34,社會局,379120000J,臺北市小彎社區公共托育家園,"109/10/31 至
115/12/31",社團法人中華兆陽文教發展協會
35,社會局,379120000J,臺北市中山托嬰中心,"112/01/01 至
117/12/31",社團法人台北市教保人員協會
36,社會局,379120000J,臺北市中山老人住宅暨服務中心,"114/01/01 至
116/12/31",財團法人臺灣省私立健順養護中心
37,社會局,379120000J,臺北市中山身障社區長照機構（日間照顧）,"111/01/01 至
116/12/31",財團法人喜憨兒社會福利基金會
38,社會局,379120000J,臺北市中正托嬰中心,"113/01/01 至
115/12/31",社團法人台北市幼兒園協會
39,社會局,379120000J,臺北市中正老人服務暨日間照顧中心,"112/01/01 至
117/12/31",中華民國紅十字會台灣省分會
40,社會局,379120000J,臺北市內湖托嬰中心,"111/01/01 至
116/12/31",財團法人中華民國唐氏症基金會
41,社會局,379120000J,臺北市內湖老人服務中心,"115/01/01 至
117/12/31",社團法人中華民國香柏樹長者社區關懷協會
42,社會局,379120000J,臺北市文山(興隆)托嬰中心,"111/06/01 至
115/12/31",社團法人台北市兒童托育協會
43,社會局,379120000J,臺北市文山老人服務暨日間照顧中心(興岩),"111/12/21 至
116/12/31",財團法人恆安社會福利慈善事業基金會 
44,社會局,379120000J,臺北市文山老人養護中心,"113/03/01 至
115/12/31",財團法人利河伯社會福利基金會
45,社會局,379120000J,臺北市文北暨洲美社區公共托育家園,"113/01/01 至
115/12/31",臺北市嬰幼兒托育協會
46,社會局,379120000J,臺北市文湖社區公共托育家園,"112/01/01 至
117/12/31",社團法人臺北市飛亞特全人福利服務文教發展協會
47,社會局,379120000J,臺北市日善社區公共托育家園,"110/01/01 至
115/12/31",社團法人新北市中華國際嬰幼兒發展學會
48,社會局,379120000J,臺北市北安社區公共托育家園,"115/01/01 至
117/12/31",社團法人中華婦幼健康促進發展協會
49,社會局,379120000J,臺北市北投托嬰中心,"110/01/01 至
115/12/31",社團法人台北市教保人員協會
50,社會局,379120000J,臺北市北投暨桃源社區公共托育家園,"112/01/01 至
117/12/31",財團法人彭婉如文教基金會
51,社會局,379120000J,臺北市弘愛服務中心,"111/01/01 至
118/06/30",台北市智障者家長協會
52,社會局,379120000J,臺北市民生身障社區長照機構（日間照顧）,"110/01/01 至
115/12/31",財團法人伊甸社會福利基金會
53,社會局,379120000J,臺北市永明發展中心,"110/01/01 至
116/06/30",財團法人育成社會福利基金會
54,社會局,379120000J,臺北市永建社區公共托育家園,"113/01/01 至
115/12/31",台灣愛心樹關懷發展協會
55,社會局,379120000J,臺北市永樂社區公共托育家園,"112/01/01 至
117/12/31",社團法人中華童心幸福關懷協會
56,社會局,379120000J,臺北市玉成社區公共托育家園,"114/01/01 至
116/12/31",社團法人中華婦幼健康促進發展協會
57,社會局,379120000J,臺北市兆如老人安養護中心,"112/10/02 至
115/12/31",佳醫長照社團法人
58,社會局,379120000J,臺北市吉林托嬰中心,"113/06/01 至
116/12/31",台北市教保人員協會
59,社會局,379120000J,臺北市成功社區公共托育家園,"112/01/01 至
117/12/31",社團法人台北市兒童托育協會
60,社會局,379120000J,臺北市朱崙老人公寓,"113/01/01 至
115/12/31",天主教耕莘醫療財團法人永和耕莘醫院
61,社會局,379120000J,臺北市百齡社區公共托育家園,"115/01/01 至
117/12/31",財團法人中華民國唐氏症基金會
