項目,案名,地號,基地面積_㎡,土地管理機關,承租人,招標年度,決標權利金_金額_億元,簽約日期,地上權_存續期間,承租用途及戶數_商場/辦公室/住宅等,前二年度土地租金金額_億元,前一年度土地租金金額_億元,當年度土地租金金額_億元,現況
1,臺北市信義區編號A9市有土地設定地上權案,信義區信義段四小段17、17-1地號,6331,財政局,新光三越百貨股份有限公司,90年,23.6788,民國90年7月4日,50年,商場,1.0382,1.0382,1.0762,新光三越A9百貨公司
2,臺北市信義區編號A12市有土地設定地上權案,信義區信義段四小段10、10-1地號,9761,財政局,新光人壽保險股份有限公司,92年,36.8999,民國92年11月5日,50年,辦公室、旅館,0.9604,0.9604,0.9956,艾美酒店
3,臺北市信義區編號A13市有土地設定地上權案,信義區信義段四小段15、15-1地號,9499,財政局,遠東百貨股份有限公司,92年,31.9688,民國92年10月6日,50年,商場,0.909,0.909,0.9461,遠東百貨
4,臺北市信義區編號B5市有土地設定地上權案,信義區信義段三小段35、35-3、35-5地號,5864,財政局,金永基投資股份有限公司,93年,13.2222,民國93年4月5日,50年,辦公室,0.6919,0.6919,0.7184,全豐盛大樓
5,臺北101設定地上權開發案,信義區信義段四小段31、31-1、34、34-1、37-33、37-34、37-35地號,30277,財政局,台北金融大樓股份有限公司,86年,206.8889,民國86年10月20日,70年,商場、辦公室,3.2154,3.2154,3.3607,臺北金融大樓
6,晶華酒店設定地上權案,中山區中山段三小段652、683、683-1、684、686-3、687地號,9249,財政局,晶華國際酒店股份有限公司(原中安觀光企業股份有限公司),65年,1.0322,民國65年10月27日,50年,旅館,0.8436,0.8436,0.891,晶華酒店
7,臺北市士林區福林段二小段573地號市有土地設定地上權案,士林區福林段二小段573地號,4169.11,財政局,普立斯國際開發股份有限公司,101年,23.88,民國101年4月11日,50年,旅館,0.223,0.223,0.2293,台北士林萬麗酒店
8,臺北市信義區信義段四小段28、29、30地號市有土地開發及設定地上權案,信義區信義段四小段28、29、30地號,17708,財政局,南山人壽保險股份有限公司,101年,268.88,民國101年10月12日,50年,辦公室、商場,3.4353,3.4353,3.577,臺北南山廣場
9,南港區經貿段42地號市有土地設定地上權案,南港區經貿段42地號,3884.1,財政局,新光人壽保險股份有限公司,102年,20.2345,民國103年2月14日,60年,旅館、辦公室,0.2641,0.2641,0.2777,南軟經貿大樓
10,臺北市中山區長春段一小段782地號等6筆市有土地設定地上權案,長春段一小段782、783、784、785、786、789地號,9081.48,財政局,富邦人壽保險股份有限公司,102年,65.888,民國103年4月16日,70年,辦公室,0.5213,0.5213,0.5395,渣打銀行大樓
11,臺北市信義區信義段三小段6地號（A25）市有土地設定地上權案,信義區信義段三小段6地號,18020,財政局,富邦人壽保險股份有限公司,103年,172.88,民國103年8月13日,50年,辦公室,2.8922,2.8922,3,富邦信義A25總部
12,臺北市中正區公園段三小段1地號等13筆市有土地(市議會舊址)設定地上權案,臺北市中正區公園段三小段1、15-1、15-2、15-3、15-8、16、17、18、19、20、20-1、21、21-1地號,6695,財政局,金毓泰股份有限公司,106年,28.888,民國106年10月25日,50年,辦公室、文化觀光設施,0.3026,0.3026,0.3169,興建中
13,臺北市中正區公園段三小段13地號等5筆市有土地(市議會舊址)設定地上權案,臺北市中正區公園段三小段13、14、15-5、24、25地號,1725,財政局,金毓通股份有限公司,107年,9.1111,民國107年8月31日,50年,旅館、辦公室,0.1435,0.1435,0.1476,興建中
14,新北市林口區力行段70地號土地設定地上權案,新北市林口區力行段70地號,30985.57,財政局,金毓陞股份有限公司,107年,5.4666,民國107年12月27日,50年,(規劃中),0.0912,0.0942,0.0975,建築規劃中
15,臺北市信義區信義段四小段32、33-2地號市有土地設定地上權案,信義區信義段四小段32、33-2地號,7099,財政局,南山人壽保險股份有限公司,108年,159.81,民國108年12月18日,50年,辦公室,1.2847,1.335,1.3882,興建中
16,臺北市內湖區潭美段五小段21地號等4筆市有土地設定地上權案,臺北市內湖區潭美段五小段21、21-1、22、22-1地號,6407.79,財政局,緯創資通股份有限公司,113年,8.56,民國113年6月7日,60年,辦公室,0.0806,0.1638,0.1584,興建中
17,臺北市內湖區潭美段五小段35、35-1地號市有土地設定地上權案,臺北市內湖區潭美段五小段35、35-1地號,8160.01,財政局,緯穎科技服務股份有限公司,113年,12.28,民國113年6月7日,60年,辦公室,0.101,0.2054,0.198,興建中
