序號,地區別,案名,市有土地地號,更新前市有土地總面積（平方公尺）,更新單元總面積（平方公尺）,最新辦理情形
1,中正區,變更臺北市中正區永昌段四小段332地號等43筆土地都市更新事業計畫暨擬訂權利變換計畫案,永昌段四小段318-4、318-5、336-１、336-2地號,566,3919,權利變換計畫核定
2,中正區,變更臺北市中正區永昌段五小段446-1地號等40筆土地都市更新事業計畫及擬訂權利變換計畫案,永昌段五小段468、468-6、469地號,1635,2995,權利變換計畫核定
3,中正區,擬訂臺北市中正區永昌段四小段46-4地號等117筆土地(原116筆)都市更新事業計畫及權利變換計畫案,永昌段四小段92地號,26,3169,事業暨權利變換計畫核定
4,中正區,擬訂臺北市中正區永昌段四小段644地號等8筆土地都市更新事業計畫及權利變換計畫案,"都發局：644、644-1及644-2地號
新工處(撥用國有土地)：645-6地號",62,3898,事業暨權利變換計畫程序中
5,中正區,變更臺北市中正區河堤段一小段191地號等26筆土地都市更新事業計畫及權利變換計畫案,河堤段一小段220、220-1地號,50,1119,事業暨權利變換計畫核定
6,中正區,擬訂臺北市中正區永昌段六小段135地號等74筆(原69筆)土地都市更新事業計畫案,永昌段六小段137、137-1、151-1地號及永昌段四小段128-2、128-3地號,208,4159,事業計畫程序中
7,中正區,擬訂臺北市中正區臨沂段三小段412地號等12筆(原11筆)土地都市更新事業計畫案,臨沂段三小段418、419地號,375,2933,事業計畫程序中
8,中正區,擬訂臺北市中正區臨沂段三小段48地號等7筆及臨沂段四小段9地號等18筆土地都市更新事業計畫案,新工處:臨沂段三小段48地號,58,2391,事業計畫程序中
9,中正區,變更(第2次)臺北市中正區河堤段二小段21地號等38筆土地都市更新事業計畫及變更權利變換計畫案,河堤段二小段40、69、70、72、73地號(113.08.29古亭地所管變土地管理機關予都發局),487,2247,權利變換計畫核定
10,中正區,擬訂臺北市中正區南海段二小段41-4地號等55筆土地都市更新權利變換計畫案,消防局：南海段二小段52-2、66-3、66-5、68-1、70地號,435,2003,權利變換計畫核定
11,中正區,擬訂臺北市中正區福和段一小段694地號等18筆土地都市更新權利變換計畫案,"財政局：福和段一小段709、709-1地號
公共運輸處：福和段一小段712地號",563,2101,權利變換計畫核定
12,中正區,擬訂臺北市中正區福和段二小段60-19地號等6筆土地都市更新事業計畫及權利變換計畫案(水源二三期整宅),"財政局：福和段二小段60-19、77(持分)、164-4、166-2地號
新工處：福和段二小段77-2(持分)地號",486,10541,事業暨權利變換計畫程序中
13,中正區,擬訂臺北市中正區中正段一小段68地號等12筆土地都市更新權利變換計畫案,中正段一小段73-3、73-7地號,121,3542,權利變換計畫程序中
14,中正區,擬訂臺北市中正區河堤段四小段173地號等41筆土地都市更新事業計畫及權利變換計畫案,河堤段四小段247-9(部分)、247-18、263-11(部分)、263-27、263-38,39,4347,事業暨權利變換計畫程序中
15,中正區,擬訂臺北市中正區永昌段五小段236-2地號等21筆(原19筆)土地都市更新事業計畫案,"財政局:永昌段五小段380-4、398
新工處:永昌段五小段337-1",310,1512,事業計畫程序中
16,中正區,變更臺北市中正區永昌段六小段96地號等27筆(原19筆)土地都市更新事業計畫及擬訂權利變換計畫案,永昌段六小段87、87-3地號,262,5299,權利變換計畫程序中
17,中正區,擬訂臺北市中正區永昌段四小段132-2地號等15筆土地都市更新事業計畫及權利變換計劃案,永昌段四小段301地號,14,1190,事業暨權利變換計畫核定
18,中正區,擬訂臺北市中正區河堤段一小段367地號等16筆土地都市更新事業計畫及權利變換計畫案,"財政局:河堤段一小段384、414(持分)地號
新工處:402-1(持分)、414-1(持分)",441,1721,事業暨權利變換計畫程序中
19,中正區,擬訂臺北市中正區臨沂段二小段316地號等4筆土地都市更新事業計畫及權利變換計畫案,臨沂段二小段316地號,73,519,事業暨權利變換計畫程序中
20,中正區,擬訂臺北市中正區南海段一小段84地號1筆土地都市更新事業計畫案,都發局、市場處：南海段一小段84地號(持分),437,12597,事業計畫程序中
21,中正區,擬訂臺北市中正區南海段一小段526地號等16筆土地都市更新事業計畫及權利變換計畫案,592、592-1地號,79,1027,事業暨權利變換計畫程序中
22,中正區,擬訂臺北市中正區南海段二小段49-5地號等48筆土地都市更新事業計畫及權利變換計畫案,"財政局：南海段二小段104、104-1、105-2、117、119、120、125、126、127、127-4地號
新建工程處：南海段二小段300-2、300-3地號",224,2586,事業暨權利變換計畫程序中
23,中正區,擬訂臺北市中正區河堤段六小段278地號等7筆土地都市更新事業計畫及權利變換計畫案,環保局:279、279-1、279-2,135,877,事業暨權利變換計畫程序中
24,中正區,擬訂臺北市中正區城中段二小段536-2地號等16筆土地都市更新事業計畫案,財政局：城中段二小段536-2地號,3,1512,事業計畫程序中
25,中正區,擬訂臺北市中正區臨沂段一小段357地號等16筆土地都市更新事業計畫案,財政局：363、363-1、363-2、364、364-1、366、366-1,519,2460,事業計畫程序中
26,中正區,擬訂臺北市中正區河堤段二小段330地號等24筆土地都市更新事業計畫及權利變換計畫案,財政局：同小段366地號,1,1427,事業暨權利變換計畫程序中
27,中正區,擬訂臺北市中正區成功段三小段3地號等46筆土地及臨沂段一小段487-2地號等43筆土地都市更新事業計畫及權利變換計畫案,"成功段
財政局：4、6
稅捐處：10、10-3
文化局：10-2
自來水處：10-1

臨沂段
新工處：487-2
財政局：495-1、495-3",6261,21314,事業暨權利變換計畫程序中
28,中正區,擬訂臺北市中正區河堤段六小段256-1地號等22筆土地都市更新事業計畫案,財政局：256-1、256-2,5,703,事業計畫程序中
29,大同區,擬定臺北市大同區市府路三小段331地號等45筆土地事業概要案,市府段三小段422-1地號,1,1801,事業概要核准
30,大同區,擬訂臺北市大同區大龍段一小段521地號等29筆土地都市更新事業計畫及權利變換計劃,大龍段一小段521-1地號,129,1764,事業計畫程序中
