序號,主管別名稱,年度核定保留數,預付費用保留數,可支庫款保留數,未分配保留數,分配累計數,本年支付數,百分比,可支庫款餘額
1,市議會主管                ,8260000,0,8260000,0,8260000,8260000,100,0
2,市政府主管                ,155404229,137654556,17749673,0,17749673,16028073,90.3,1721600
3,民政局主管                ,145606238,56389574,89216664,0,89216664,77507376,86.88,11709288
4,財政局主管                ,94937584,13556073,81381511,0,81381511,48491575,59.59,32889936
5,教育局主管                ,204019327,146066946,57952381,0,57952381,55372373,95.55,2580008
6,產業發展局主管            ,606261253,267015367,339245886,0,339245886,87611270,25.83,251634616
7,工務局主管                ,2520635213,577053640,1943581573,0,1943581573,1533212650,78.89,410368923
8,交通局主管                ,185195133,19930786,165264347,0,165264347,150405107,91.01,14859240
9,社會局主管                ,750811847,514349126,236462721,0,236462721,174776799,73.91,61685922
10,勞動局主管                ,252907590,251816060,1091530,0,1091530,74566,6.83,1016964
11,警察局主管                ,63382885,34150682,29232203,0,29232203,17099723,58.5,12132480
12,衛生局主管                ,158221559,132302058,25919501,0,25919501,21731513,83.84,4187988
13,環境保護局主管            ,89942218,67862117,22080101,0,22080101,9267958,41.97,12812143
14,都市發展局主管            ,18393850,4747816,13646034,0,13646034,5757433,42.19,7888601
15,文化局主管                ,687537258,473645598,213891660,0,213891660,128292397,59.98,85599263
16,消防局主管                ,102157256,56372443,45784813,0,45784813,42792409,93.46,2992404
17,翡翠水庫管理局主管        ,1095000,0,1095000,0,1095000,1095000,100,0
18,觀光傳播局主管            ,6000000,0,6000000,0,6000000,5978895,99.65,21105
19,地政局主管                ,722400,0,722400,0,722400,722400,100,0
20,兵役局主管                ,65600,0,65600,0,65600,65600,100,0
21,臺北自來水事業處主管      ,2948527,0,2948527,0,2948527,2948527,100,0
22,體育局主管                ,727123852,119122178,608001674,0,608001674,570138157,93.77,37863517
23,資訊局主管                ,23589062,0,23589062,0,23589062,23211562,98.4,377500
24,捷運局主管                ,7280254,2939700,4340554,0,4340554,2433854,56.07,1906700
