序號,政事別名稱,年度核定保留數,預付費用保留數,可支庫款保留數,未分配保留數,分配累計數,本年支付數,百分比,可支庫款支付餘額
1,行政支出,26689300,1079802,25609498,0,25609498,25162694,98.26,446804
2,立法支出,8260000,0,8260000,0,8260000,8260000,100,0
3,民政支出,273073195,211222681,61850514,0,61850514,58481037,94.55,3369477
4,警政支出,63382885,34150682,29232203,0,29232203,17099723,58.5,12132480
5,財務支出,94937584,13556073,81381511,0,81381511,48491575,59.59,32889936
6,教育支出,888727,0,888727,0,888727,871320,98.04,17407
7,文化支出,1716974168,776519537,940454631,0,940454631,807805107,85.9,132649524
8,農業支出,1117323486,516601715,600721771,0,600721771,314005111,52.27,286716660
9,工業支出,19692144,4347816,15344328,0,15344328,14517057,94.61,827271
10,交通支出,1715939967,247708863,1468231104,0,1468231104,1114071151,75.88,354159953
11,其他經濟服務支出,25516812,400000,25116812,0,25116812,16803025,66.9,8313787
12,福利服務支出,762376306,518511888,243864418,0,243864418,181709754,74.51,62154664
13,國民就業支出,252837090,251816060,1021030,0,1021030,22808,2.23,998222
14,醫療保健支出,146727600,128139296,18588304,0,18588304,14850316,79.89,3737988
15,環境保護支出,238973971,129636909,109337062,0,109337062,87601261,80.12,21735801
16,社區發展支出,206936319,38304024,168632295,0,168632295,151752796,89.99,16879499
17,其他支出,141968581,2979374,138989207,0,138989207,121770482,87.61,17218725
