序號,主管別,年度預算數,累計分配數,年度預算分配百分比,累計支付數,分配預算支付百分比
1,市議會主管                ,914032000,911112000,99.68,799206825,87.72
2,市政府主管                ,6300827963,6295445691,99.91,5918681436,94.02
3,民政局主管                ,3198316631,3195185620,99.90,2878443498,90.09
4,財政局主管                ,3778719398,3778454288,99.99,2351792821,62.24
5,教育局主管                ,68750333194,68748654908,100.00,68669362342,99.88
6,產業發展局主管            ,5451315991,5451196715,100.00,5173999633,94.91
7,工務局主管                ,22198100651,22197992616,100.00,18983413071,85.52
8,交通局主管                ,10662298400,10662040139,100.00,10460053703,98.11
9,社會局主管                ,28106300474,28105446478,100.00,26375093539,93.84
10,勞動局主管                ,2038182221,2037129638,99.95,1932346994,94.86
11,警察局主管                ,14847229000,14843999660,99.98,14657598548,98.74
12,衛生局主管                ,7100400479,7097504521,99.96,6659498824,93.83
13,環境保護局主管            ,8307599875,8307305075,100.00,8190475195,98.59
14,都市發展局主管            ,2601293354,2601180537,100.00,2338094666,89.89
15,文化局主管                ,4250183568,4247830167,99.94,4081291525,96.08
16,消防局主管                ,4527024189,4527017699,100.00,4260785820,94.12
17,翡翠水庫管理局主管        ,316257000,316257000,100.00,306668987,96.97
18,觀光傳播局主管            ,780328000,780292389,100.00,760486789,97.46
19,地政局主管                ,1382125554,1382125554,100.00,1346699202,97.44
20,兵役局主管                ,285765000,285458592,99.89,267653126,93.76
21,臺北自來水事業處主管      ,138210000,138210000,100.00,122061144,88.32
22,體育局主管                ,3235276616,3235276616,100.00,2644896932,81.75
23,資訊局主管                ,938950000,937150000,99.81,872407915,93.09
24,法務局主管                ,193810000,192990000,99.58,161031414,83.44
25,青年局主管,549808000,549158000,99.88,479817890,87.37
26,捷運局主管                ,5690434000,5689705583,99.99,5647719744,99.26
27,其他支出,8526826442,6729344059,78.92,6187115582,91.94
28,第二預備金,740000000,466621609,63.06,391497103,83.90
