序號,政事別名稱,年度預算數,本年分配數,年度預算分配百分比,本年支付數,分配預算支付百分比
1,行政支出,2809150303,2801722816,99.74,2543069213,90.77
2,立法支出,914032000,911112000,99.68,799206825,87.72
3,民政支出,12438752379,12435037614,99.97,11811008511,94.98
4,警政支出,14847229000,14843999660,99.98,14657598548,98.74
5,財務支出,2658259398,2657994288,99.99,2148919224,80.85
6,教育支出,66991208880,66989305594,100.00,66974393159,99.98
7,文化支出,10904048788,10901653487,99.98,9873488759,90.57
8,農業支出,10040381259,10040261983,100.00,9464968589,94.27
9,工業支出,2288766228,2288658193,100.00,1972817184,86.20
10,交通支出,24932353852,24931367174,100.00,22471655186,90.13
11,其他經濟服務支出,2021994422,2021158965,99.96,1915984853,94.80
12,社會保險支出,719103000,719103000,100.00,693041238,96.38
13,社會救助支出,9326896000,9326896000,100.00,8786741231,94.21
14,福利服務支出,19713896179,19711989600,99.99,18429926687,93.50
15,國民就業支出,1560702984,1560702984,100.00,1487485820,95.31
16,醫療保健支出,6577344011,6574448053,99.96,6212960443,94.50
17,環境保護支出,12487227875,12486933075,100.00,11982014509,95.96
18,社區發展支出,3893836000,3893836000,100.00,3660729992,94.01
19,退休撫卹給付支出,5372388000,5372388000,100.00,4984465318,92.78
20,債務付息支出,1380939000,1380939000,100.00,448737223,32.50
21,還本付息事務支出,12000000,12000000,100.00,4000000,33.33
22,其他支出,3179438442,1381956059,43.47,1203484653,87.09
23,第二預備金,740000000,466621609,63.06,391497103,83.90
