序號,案件,年度,建物門牌/地號,出租面積_㎡,標租底價_元,得標價_元
1,1,103,臺北市北投區幽雅路11號,2400.52,"3,800,000","7,168,888"
2,2,106,臺北市中正區中華路二段409巷5弄4號等18戶,516.1,"612,900","624,024"
3,3,106,臺北市中正區臨沂段三小段418、419地號,375,"2,492,400","2,901,155"
4,4,107,臺北市萬華區華江段二小段164地號,47,"89,100","89,100"
5,5,107,臺北市中正區愛國東路74巷2之1號,36.23,"89,300","93,600"
6,6,107,臺北市士林區文林路114巷5號,61.15,"179,700","180,000"
7,7,107,臺北市文山區景豐街81號,2321,"500,000","552,000"
8,8,107,臺北市士林區至誠路1段305巷2弄12號1、2樓,70,"735,200","846,120"
9,,107,臺北市士林區中興街18號2樓,57.6,,
10,,107,臺北市士林區中興街20號2樓,57.6,,
11,,107,臺北市中山區雙城街17巷7之9號4樓,85.93,,
12,,107,臺北市萬華區和平西路3段298巷5號2樓之7,64.5,,
13,,107,臺北市萬華區寶興街80巷43弄15號1樓,44.4,,
14,,107,臺北市萬華區寶興街80巷43弄15號2樓,44.4,,
15,,107,臺北市萬華區寶興街80巷43弄17號1樓,44.4,,
16,,107,臺北市萬華區寶興街80巷43弄17號2樓,44.4,,
17,,107,臺北市萬華區寶興街80巷43弄21號1樓,44.4,,
18,,107,臺北市萬華區寶興街80巷43弄25號2樓,44.4,,
19,9,107,臺北市松山區八德路2段346巷1弄1號等45戶,1360.27,"1,100,000","1,446,000"
20,10,107,臺北市大安區信義路4段30巷41弄18號之2號3樓,76.78,"1,576,800","1,676,898"
21,,107,臺北市大安區安和路2段217巷14弄7號,30.91,,
22,,107,臺北市中山區撫順街24之2號4樓,103.24,,
23,,107,臺北市中山區遼寧街199巷1號2樓,48.5,,
24,,107,臺北市中正區重慶南路3段3巷5號4樓,68.15,,
25,,107,臺北市中正區濟南路2段62巷5號,115.14,,
26,,107,臺北市松山區復興南路1段47巷9弄7號,30.86,,
27,11,108,臺北市萬華區成都路12號,712.01,"36,000,000","36,000,000"
28,12,108,臺北市士林區至誠路1段305巷2弄10號,62.68,"772,500","888,360"
29,,108,臺北市中山區遼寧街201巷2號,41.11,,
30,,108,臺北市松山區復興南路1段47巷9弄9號,30.86,,
31,,108,臺北市萬華區武成街5號2樓,64.7,,
32,,108,臺北市萬華區西園路2段372巷23弄10號2樓,45.88,,
33,13,108,臺北市北投區明德路308號,194.2,"552,900","564,000"
34,14,108,臺北市萬華區環河南路2段125巷15弄21號2樓,151.31,"96,000","132,000"
35,15,109,新北市板橋區江子翠段第二崁小段189-5地號,725,"1,091,700","2,008,800"
36,16,109,臺北市萬華區西園路2段320巷36弄1-49號房屋地下層,1824.52,"354,000","360,000"
37,17,109,臺北市士林區福林路100巷70號2樓之2(含停車位編號13),142.3,"237,300","360,000"
38,18,109,臺北市文山區木新路3段147號,82.24,"953,900","1,276,908"
39,,109,臺北市文山區木新路3段149號,82.21,,
40,19,109,臺北市士林區後港街162巷10弄14號,135.66,"2,917,200","2,920,000"
41,,109,臺北市大同區迪化街2段213巷8號,40.81,,
42,,109,臺北市中正區同安街85之3號,143.2,,
43,,109,臺北市中正區羅斯福路1段90巷1號,80.26,,
44,,109,臺北市中正區重慶南路3段6號3樓,305.38,,
45,,109,臺北市中正區重慶南路3段6號3樓之1,,,
46,,109,臺北市中正區重慶南路3段6號4樓,,,
47,,109,臺北市中正區重慶南路3段6號4樓之1,,,
48,,109,臺北市中正區濟南路2段4之1號(位於2樓),204.84,,
49,,109,臺北市中正區濟南路2段4之4號(位於3樓),,,
50,,109,臺北市中正區濟南路2段4之5號(位於4樓),,,
51,,109,臺北市中正區濟南路2段4之6號(位於4樓),,,
52,,109,臺北市文山區木新路3段145巷2號2樓,118.83,,
53,,109,臺北市北投區中央北路1段123巷4號,122.04,,
54,20,109,新北市永和區文化路9巷30弄10號,60.4,"473,100","525,141"
55,,109,新北市永和區文化路9巷30弄16號,60.4,,
56,,109,新北市永和區文化路9巷30弄18號,60.4,,
57,,109,新北市永和區文化路9巷30弄27號,60.4,,
58,,109,新北市永和區文化路9巷30弄25號,60.4,,
59,,109,新北市永和區文化路9巷30弄23號,60.4,,
60,21,109,臺北市士林區中興街22號(1、2樓),115.2,"984,000","984,000"
61,,109,臺北市松山區南京東路5段291巷47弄42號(1、2樓),67.06,,
62,,109,臺北市萬華區青年路168巷2弄18號2樓之1,49.64,,
63,,109,臺北市萬華區青年路168巷2弄18號2樓之2,32.44,,
64,,109,臺北市萬華區青年路168巷2弄16號2樓,32.44,,
65,,109,臺北市萬華區青年路168巷2弄18號2樓,37.87,,
66,22,110,臺北市中山區長安東路1段87號,178.19,"1,550,000","1,700,000"
67,,110,臺北市中山區長安東路1段89號,178.19,,
68,23,110,臺北市萬華區長順街14巷1弄9號3樓,53.5,"641,400","653,888"
69,,110,臺北市文山區興隆路1段89號,94.31,,
70,,110,臺北市松山區八德路3段158巷7弄27號,141.08,,
71,24,110,新北市永和區豫溪街74巷7弄9號,83.01,"417,600","420,000"
72,,110,新北市永和區豫溪街74巷7弄11號,78.09,,
73,25,110,臺北市士林區中興街20號1樓,57.6,"909,900","909,900"
74,,110,臺北市信義區忠孝東路4段553巷38號5樓,51.98,,
75,,110,臺北市中正區林森北路9巷18之1號,110.3,,
76,26,111,臺北市大安區敦化南路一段187巷48號,78.54,"1,830,000","2,112,000"
77,27,111,臺北市萬華區成都路12號,712.01,"33,000,000","33,360,000"
78,28,112,臺北市萬華區華江段二小段164地號,47,"89,100","101,588"
79,29,112,臺北市開封街2段66之2號,215.1,"1,280,000","1,371,428"
80,30,112,臺北市中正區愛國東路74巷2之1號,36.23,"98,500","99,000"
81,31,112,新北市板橋區永翠段1地號,"1,515.04","1,730,000","3,315,000"
82,32,112,臺北市北投區幽雅路11號,"2,400.52","7,890,000","7,980,000"
83,33,112,臺北市信義區松德路25巷56號4樓,115.96,"2,570,000","2,628,000"
84,,112,臺北市信義區松德路25巷58號5樓,110.26,,
85,,112,臺北市信義區松德路25巷60號1樓,106.99,,
86,,112,臺北市信義區松德路25巷60號4樓,127.95,,
87,,112,臺北市信義區松德路25巷60號5樓,127.95,,
88,,112,臺北市士林區文林路114巷5號1樓,61.15,,
89,34,112,臺北市中正區濟南路2段62巷5號,115.14,"1,570,000","1,898,168"
90,,112,臺北市中正區重慶南路3段3巷5號4樓,68.15,,
91,,112,臺北市大安區信義路4段30巷41弄18之2號3樓,76.78,,
92,,112,臺北市松山區復興南路1段47巷9弄7號,30.86,,
93,,112,臺北市中山區遼寧街199巷1號2樓,48.5,,
94,,112,臺北市中山區撫順街 24之2號4樓,103.24,,
95,35,113,臺北市中山區遼寧街201巷2號,41.11,"860,000","1,088,889"
96,,113,臺北市松山區復興南路1段47巷9弄9號,30.86,,
97,,113,臺北市萬華區武成街5號2樓,64.7,,
98,,113,臺北市萬華區西園路2段372巷23弄10號2樓,45.88,,
99,,113,臺北市萬華區和平西路3段298巷5號2樓之5,66.65,,
100,36,113,臺北市大安區安和路2段217巷14弄7號,30.91,"680,000","731,000"
101,,113,臺北市士林區至誠路1段305巷2弄10號,62.68,,
102,,113,臺北市士林區至誠路1段305巷2弄14號,62.56,,
103,37,113,臺北市文山區景豐街79號4樓、5樓,928.4,"1,110,000","1,686,000"
104,38,114,臺北市萬華區西園路2段320巷36弄1-49號房屋地下層,1824.52,"370,000","2,063,520"
105,39,114,臺北市士林區福林路100巷70號2樓之2(含停車位編號13),214.92,"430,000","586,666"
106,40,114,臺北市北投區中央北路1段123巷4號,122.04,"3,560,000","4,560,816"
107,,114,臺北市大同區迪化街2段213巷8號,75.01,,
108,,114,臺北市士林區後港街162巷10弄14號,135.66,,
109,,114,臺北市中正區重慶南路3段6號3樓、6號3樓之1、6號4樓、6號4樓之1（4戶）,305.38,,
110,,114,臺北市中正區濟南路2段4之4號（位於3樓）、4之5號（位於4樓）、4之6號(位於4樓)（3戶）,153.63,,
