土地標示,列管面積_㎡,都市計畫使用分區,年月,公告地價_金額_元,年月,公告現值_金額_元
臺北市士林區天山段一小段0563-0000,794,第二種住宅區,113/01,44067000,114/01,173092000
臺北市士林區天山段二小段0337-0000,221,機關用地,113/01,12265500,114/01,48178000
臺北市士林區天山段二小段0338-0000,221,機關用地,113/01,12265500,114/01,48178000
臺北市士林區天山段二小段0407-0000,14,機關用地,113/01,777000,114/01,3052000
臺北市士林區芝山段一小段0024-0001,366,第三種住宅區,113/01,31000200,114/01,122976000
臺北市大同區大同段二小段0662-0000,389,第四種住宅區,113/01,25884060,114/01,103582142
臺北市中山區中山段四小段0553-0000,182,第四種住宅區,113/01,20384000,114/01,81536000
臺北市中山區中山段四小段0554-0000,119,第四種住宅區,113/01,13328000,114/01,53312000
臺北市中山區中山段四小段0555-0000,119,第四種住宅區,113/01,13328000,114/01,53312000
臺北市中山區中山段四小段0556-0000,186,第四種住宅區,113/01,20832000,114/01,83328000
臺北市中山區北安段一小段0082-0013,847,第三種住宅區,113/01,44975700,114/01,177870000
臺北市中山區正義段四小段0238-0000,1050,第三種商業區,113/01,118650000,114/01,475650000
臺北市中山區正義段四小段0429-0000,542,第三種商業區,113/01,50833638,114/01,205543744
臺北市中山區正義段四小段0429-0003,334,第三種商業區,113/01,31200276,114/01,126158146
臺北市中山區吉林段五小段0332-0000,571,第四種商業區,113/01,80511000,114/01,326612000
臺北市中山區長春段一小段0725-0000,619,第三種住宅區,113/01,63757000,114/01,252552000
臺北市中山區榮星段二小段0501-0000,932,第三種住宅區,113/01,82668400,114/01,328064000
臺北市中山區長安段二小段0489-0000,1503,第參種商業區,113/01,123246000,114/01,495990000
臺北市中正區中正段二小段0246-0000,47.22,第三種住宅區,113/01,6233040,114/01,24365520
臺北市中正區中正段二小段0254-0001,1.23,第三種住宅區,113/01,162360,114/01,634680
臺北市中正區中正段二小段0255-0000,7.09,第三種住宅區,113/01,935880,114/01,3658440
臺北市中正區中正段二小段0256-0000,502,第三種住宅區,113/01,66264000,114/01,259032000
臺北市中正區中正段二小段0257-0000,7,第三種住宅區,113/01,924000,114/01,3612000
臺北市中正區南海段二小段0339-0000,589,第三種商業區(商三特)及第三種住宅區,113/01,73491886,114/01,292651718
臺北市中正區南海段二小段0340-0000,113,第三種住宅區,113/01,12204000,114/01,48364000
臺北市中正區南海段二小段0357-0002,41,第三種商業區(商三特),113/01,7544000,114/01,30340000
臺北市中正區臨沂段一小段0303-0000,157,第三種住宅區,113/01,20724000,114/01,81012000
臺北市中正區臨沂段一小段0306-0000,162,第三種住宅區,113/01,21384000,114/01,83592000
臺北市中正區臨沂段一小段0307-0000,156,第三種住宅區,113/01,20592000,114/01,80496000
臺北市中正區臨沂段一小段0308-0000,156,第三種住宅區,113/01,20592000,114/01,80496000
臺北市中正區臨沂段一小段0363-0000,144,第三種商業區(商三特),113/01,20567952,114/01,81695952
臺北市中正區臨沂段一小段0363-0001,68,第三種商業區(商三特),113/01,9063516,114/01,35538024
臺北市中正區臨沂段一小段0363-0002,7.62,第三種商業區(商三特),113/01,1005840,114/01,3931920
臺北市中正區臨沂段一小段0364-0000,105,第三種商業區(商三特),113/01,15015000,114/01,59640000
臺北市中正區臨沂段一小段0364-0001,45,第三種商業區(商三特),113/01,5940000,114/01,23220000
臺北市內湖區西湖段一小段0456-0000,364,第三種住宅區,113/01,20675200,114/01,81172000
臺北市內湖區康寧段一小段0202-0001,626,第二種住宅區,113/01,4632400,114/01,18091400
臺北市內湖區康寧段四小段0452-0000,734,第三種住宅區,113/01,54207368,114/01,214714084
臺北市內湖區康寧段四小段0452-0002,431,第三種住宅區,113/01,30537212,114/01,120954978
臺北市內湖區碧湖段四小段0167-0000,370,第二種住宅區,113/01,13357000,114/01,52910000
臺北市文山區木柵段三小段0336-0000,1004,第三種住宅區,113/01,54356560,114/01,215468440
臺北市文山區博嘉段四小段0490-0000,566.68,第二種住宅區,113/01,2776732,114/01,10936924
臺北市文山區萬芳段一小段0004-0005,328,第參類住宅用地(萬芳社區特定專用區),113/01,15514400,114/01,60680000
臺北市文山區興安段二小段0014-0002,187,第三種商業區(商三特),113/01,16287700,114/01,64515000
臺北市文山區興安段二小段0015-0000,23,第三種商業區(商三特),113/01,2003300,114/01,7935000
臺北市文山區興安段二小段0020-0005,19,第三種商業區(商三特),113/01,1654900,114/01,6555000
臺北市文山區興安段二小段0020-0006,96,第三種商業區(商三特),113/01,8361600,114/01,33120000
臺北市文山區興隆段三小段0399-0011,78,第三種住宅區,113/01,4056000,114/01,16224000
臺北市文山區興隆段三小段0559-0007,49,第三種住宅區,113/01,2548000,114/01,10192000
臺北市文山區興隆段三小段0559-0009,20,第三種住宅區,113/01,1040000,114/01,4160000
臺北市文山區興隆段三小段0560-0000,145,第三種住宅區,113/01,7540000,114/01,30160000
臺北市文山區興隆段三小段0560-0007,62,第三種住宅區,113/01,3224000,114/01,12896000
臺北市文山區興隆段三小段0562-0013,84,第三種住宅區,113/01,4368000,114/01,17472000
臺北市文山區興隆段三小段0563-0013,6,第三種住宅區,113/01,312000,114/01,1248000
