公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20209建號（含共同使用部分及停車位編號117）,172.32,士林區福林路100巷11弄57號4樓,34121800,38710000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20219建號（含共同使用部分及停車位編號162）,172.32,士林區福林路100巷11弄55號7樓,35145700,36260000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20223建號（含共同使用部分及停車位編號150）,169.95,士林區福林路100巷11弄53號4樓,35594500,41600000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20226建號（含共同使用部分及停車位編號145）,169.95,士林區福林路100巷11弄53號7樓,34601100,37080000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20244建號（含共同使用部分及停車位編號135）,169.95,士林區福林路100巷77弄21號4樓,33776000,38140000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20275建號（含共同使用部分及停車位編號104）,169.95,士林區福林路100巷77弄13號7樓,35220400,38888889,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20300建號（含共同使用部分及停車位編號72）,169.95,士林區福林路100巷77弄5號4樓,33776000,34388999,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,66.84,士林區福林段二小段20307建號（含共同使用部分及停車位編號58）,169.95,士林區福林路100巷77弄3號4樓,33776000,34688800,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,82.14,士林區福林段二小段20333建號（含共同使用部分及停車位編號36）,212.86,士林區福林路100巷76弄2號之1,43278500,43851000,已標脫
1030103,公開標售臺北市士林區福林路100巷11弄57號4樓等20戶市有房地,士林區福林段二小段594地號,82.14,士林區福林段二小段20338建號（含共同使用部分及停車位編號75）,212.86,士林區福林路7號70樓之1,44171700,45660000,已標脫
