年度,月份,財產性質別,項目,金額（元）
110,12,公務用,土地及土地改良物,"1,569,406,331,127"
110,12,公務用,房屋建築及設備,"62,697,083,684"
110,12,公務用,機械及設備,"8,181,506,277"
110,12,公務用,交通及運輸設備,"2,467,260,827"
110,12,公務用,什項設備,"3,829,747,736"
110,12,公務用,有價證券及權利,"23,407,221,685"
110,12,公共用,土地及土地改良物,"7,553,179,555,001"
110,12,公共用,房屋建築及設備,"131,125,325,309"
110,12,公共用,機械及設備,"8,647,572,521"
110,12,公共用,交通及運輸設備,"29,525,952,238"
110,12,公共用,什項設備,"2,686,163,859"
110,12,公共用,有價證券及權利,"3,186,106,349"
110,12,事業用,土地及土地改良物,"210,777,820,122"
110,12,事業用,房屋建築及設備,"80,611,537,578"
110,12,事業用,機械及設備,"43,172,484,528"
110,12,事業用,交通及運輸設備,"2,768,157,694"
110,12,事業用,什項設備,"2,783,721,545"
110,12,事業用,有價證券及權利,"353,419,522"
110,12,非公用,土地及土地改良物,"437,353,869,594"
110,12,非公用,房屋建築及設備,"5,108,583,292"
110,12,非公用,機械及設備,"23,809,516"
110,12,非公用,交通及運輸設備,"2,157,143"
110,12,非公用,什項設備,"34,080,469"
110,12,非公用,有價證券及權利,"418,300,130"
111,12,公務用,土地及土地改良物,"1,621,547,980,819"
111,12,公務用,房屋建築及設備,"66,889,800,612"
111,12,公務用,機械及設備,"8,814,148,796"
111,12,公務用,交通及運輸設備,"2,400,525,134"
111,12,公務用,什項設備,"3,953,137,794"
111,12,公務用,有價證券及權利,"24,189,941,099"
111,12,公共用,土地及土地改良物,"7,789,677,716,838"
111,12,公共用,房屋建築及設備,"136,302,476,839"
111,12,公共用,機械及設備,"7,425,946,265"
111,12,公共用,交通及運輸設備,"27,224,937,716"
111,12,公共用,什項設備,"2,819,550,570"
111,12,公共用,有價證券及權利,"3,185,658,905"
111,12,事業用,土地及土地改良物,"210,817,349,786"
111,12,事業用,房屋建築及設備,"93,092,513,621"
111,12,事業用,機械及設備,"41,208,591,578"
111,12,事業用,交通及運輸設備,"2,657,354,089"
111,12,事業用,什項設備,"3,039,926,994"
